"Part","Value","Footprint","References","Quantity Per PCB","Farnell Nr","Datasheet"
"C_Small","100n","C_0603_1608Metric","C1 C2","2","","~"
"C_Small","1u","C_0603_1608Metric","C3","1","","~"
"ESP32-CAM","ESP32-CAM","ESP32CAM","IC1","1","","https://datasheet.lcsc.com/szlcsc/Ai-Thinker-ESP32-CAM_C277946.pdf"
"Conn_01x02","Conn_01x02","PinHeader_1x02_P2.00mm_Vertical","J1","1","","~"
"2N7002","2N7002","SOT-23","Q1","1","2706627","https://4donline.ihs.com/images/VipMasterIC/IC/ROHM/ROHM-S-A0008995632/ROHM-S-A0008995632-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0"
"IRLML0030","IRLML0030","SOT-23","Q2","1","1791366","https://www.infineon.com/dgdl/irlml0030pbf.pdf?fileId=5546d462533600a401535664773825df"
"R","10k","R_0603_1608Metric","R1 R2","2","","~"
"SW_SPDT","EG1270","EG1270","SW1","1","","~"
"TP4056-Module","TP4056-Module","TP4056-Module","U1","1","","https://components101.com/modules/tp4056a-li-ion-battery-chargingdischarging-module"
"XC6220B331MR","XC6503D331MR-G","SOT-23-5","U2","1","3535464","https://www.farnell.com/datasheets/3118398.pdf"
